App Name,Last Updated,Domains
AltStore,06/19/20,"alpha.altstore.io, in.appcenter.ms, user-images.githubusercontent.com"
Bitwarden,06/19/20,"api.bitwarden.com, in.appcenter.ms, identity.bitwarden.com"
Brave,06/19/20,"Ads-serve.brave.com, adblock-data.s3.brave.com, localhost, laptop-updates.brave.com, grant.rewards.brave.com, mobile-data.s3.brave.com"
Discord,,
IVPN,06/19/20,"ivpn.net, api.ivpn.net"
Jitsi Meet,,
Riot.im,06/19/20,"Matrix-client.matrix.org, piwik.riot.im, clients3.google.com, scalar.vector.im"
Tofu,06/19/20,N/A
Instagram,,
NordVPN,06/19/20,
